dataset_size,run_id,variant_name,grid_rows,grid_cols,embedding_model,runtime_seconds,initial_cost,final_cost,cost_improvement,neighborhood_preservation,trustworthiness,stress,silhouette,accepted_swaps,notes
50,run_2026-03-15_01-51-44_acom_v1_wider_swap_annealed_scale50,acom_v1_wider_swap_annealed_scale50,8,8,sentence-transformers:all-MiniLM-L6-v2,13.3686,126.862521,92.533044,34.329477,0.342,0.7275362318840579,3.98860163096102,0.0977616298732452,145,"Scaling study run for 50 documents. Balanced allocation: {'comp.graphics': 10, 'rec.sport.baseball': 10, 'sci.med': 10, 'sci.space': 10, 'talk.politics.misc': 10}."
100,run_2026-03-15_01-52-01_acom_v1_wider_swap_annealed_scale100,acom_v1_wider_swap_annealed_scale100,10,10,sentence-transformers:all-MiniLM-L6-v2,15.1116,296.811194,214.950086,81.861108,0.35100000000000003,0.7799763313609467,5.1456592501578635,0.03224614016945803,297,"Scaling study run for 100 documents. Balanced allocation: {'comp.graphics': 20, 'rec.sport.baseball': 20, 'sci.med': 20, 'sci.space': 20, 'talk.politics.misc': 20}."
150,run_2026-03-15_01-52-20_acom_v1_wider_swap_annealed_scale150,acom_v1_wider_swap_annealed_scale150,13,13,sentence-transformers:all-MiniLM-L6-v2,39.2241,415.038474,294.598967,120.439506,0.24,0.7233308550185873,6.93084886065856,-0.00857006105264005,542,"Scaling study run for 150 documents. Balanced allocation: {'comp.graphics': 30, 'rec.sport.baseball': 30, 'sci.med': 30, 'sci.space': 30, 'talk.politics.misc': 30}."
200,run_2026-03-15_01-53-04_acom_v1_wider_swap_annealed_scale200,acom_v1_wider_swap_annealed_scale200,15,15,sentence-transformers:all-MiniLM-L6-v2,35.5981,553.353633,408.516179,144.837454,0.19300000000000003,0.7046287262872628,8.179717317111347,-0.06811998684538477,579,"Scaling study run for 200 documents. Balanced allocation: {'comp.graphics': 40, 'rec.sport.baseball': 40, 'sci.med': 40, 'sci.space': 40, 'talk.politics.misc': 40}."
