iteration,cost
0,300.830533511796
1,275.4128736873413
2,262.00723626603286
3,253.78334444104783
4,246.2241930941325
5,238.82941069846342
6,236.16759196236117
7,230.48360748591853
8,228.97108157143512
9,227.61313405406852
10,225.3425849042339
11,224.78772865256755
12,223.59130455343953
13,221.66846033482886
14,221.0005561789424
15,220.61354077590974
16,219.37056568063443
17,217.86177423556703
18,217.5451859265869
19,216.28354321175215
20,215.72268808702506
21,215.3900012623694
22,215.13671118599095
23,215.07211897558432
24,214.77029191589406
25,214.31902635779173
26,214.33619607657573
27,213.95897626245312
28,213.64536860619057
29,213.57598014455561
30,213.57598014455561
31,213.2271510353536
32,213.00988164810585
33,213.0006748951609
34,213.0283678398705
35,213.00988164810585
36,213.0112493004419
37,213.0006748951609
38,213.0204560533869
39,213.0204560533869
40,213.0112493004419
41,213.03894224515156
42,213.07330583431724
43,213.03757459281545
44,213.0204560533869
45,213.0481489980965
46,213.0112493004419
47,213.04561288960764
48,213.00514779766021
49,213.00514779766021
50,213.01435455060522
51,213.01435455060522
52,213.01506385774752
53,213.01506385774752
54,213.01506385774752
55,213.01506385774752
